,experiment_num,selected_features,pnum
64,4,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",14.0
65,4,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",19.0
66,4,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",20.0
67,4,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",21.0
68,4,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_temperature_max', '(S)_env_humidity_max', '(S)_env_co2_max']",22.0
69,4,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_humidity_max', '(S)_env_co2_max']",23.0
70,5,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",1.0
71,5,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",2.0
72,5,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",3.0
73,5,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",7.0
74,5,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",9.0
75,5,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",10.0
76,5,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",12.0
77,5,"['(S)_env_temperature_std', '(S)_env_humidity_std']",13.0
78,5,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",14.0
79,5,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",19.0
80,5,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",20.0
81,5,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",21.0
82,5,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_temperature_max', '(S)_env_humidity_max', '(S)_env_co2_max']",22.0
83,5,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_humidity_max', '(S)_env_co2_max']",23.0
84,6,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",1.0
85,6,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",2.0
86,6,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",3.0
87,6,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",7.0
88,6,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",9.0
89,6,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",10.0
90,6,"['(S)_env_temperature_std', '(S)_env_humidity_std', '(S)_env_co2_max']",12.0
91,6,"['(S)_env_temperature_std', '(S)_env_humidity_std']",13.0
